,Rank,Name,Position,G,GS,IP,ifH,FC,PO,Ass,E,BBO,BBO%,F%,RF9,Range RAA, Err RAA,DP RAA,Bt RAA,Total RAA,/144,Team
2,1,허경민,3B,41,40,322.1,15,1,21,66,3,47,59.6,96.7,2.43,4.62,0.15,0.23,0.02,5.02,17.21,Doosan
3,2,강승호,2B,40,40,325.0,12,0,80,105,9,107,80.4,95.4,5.12,3.05,-0.29,0.23,,2.98,9.99,Doosan
4,3,박준영,SS,33,30,261.0,14,0,47,75,2,60,73.3,98.4,4.21,3.11,0.43,-1.07,,2.47,10.45,Doosan
5,4,양석환,1B,40,40,339.0,13,0,308,21,1,170,91.8,99.7,8.73,0.68,0.84,,0.11,1.63,5.45,Doosan
6,5,이유찬,2B,8,0,13.0,1,0,2,8,0,5,80.0,100.0,6.92,0.69,0.05,,,0.74,6.29,Doosan
7,6,이유찬,3B,1,1,8.0,0,0,1,2,0,0,,100.0,3.38,0.70,0.03,,,0.73,6.17,Doosan
8,7,전민재,SS,13,6,64.0,0,0,15,17,1,15,93.3,97.0,4.50,-0.09,0.23,0.59,,0.73,4.35,Doosan
9,8,강승호,1B,11,3,39.0,5,0,29,5,0,24,79.2,100.0,7.85,0.62,0.10,,,0.72,2.41,Doosan
10,9,전민재,3B,9,2,30.0,3,0,3,4,0,1,-200.0,100.0,2.10,0.56,0.11,0.00,,0.67,4.01,Doosan
11,10,서예일,3B,2,0,3.0,0,0,0,1,0,1,100.0,100.0,3.00,0.37,0.01,,,0.38,27.50,Doosan
12,11,이유찬,SS,1,0,1.0,0,0,0,1,0,0,,100.0,9.00,0.15,0.00,,,0.15,1.29,Doosan
13,12,박준영,3B,1,0,1.0,0,0,0,0,0,0,,,0.00,,0.00,,,0.00,0.02,Doosan
14,13,박계범,1B,1,0,1.0,0,0,0,0,0,0,,,0.00,,0.00,,,0.00,0.01,Doosan
15,14,김민혁,1B,1,0,1.0,0,0,0,0,0,0,,,0.00,0.00,0.00,,,0.00,0.07,Doosan
16,15,김재호,SS,5,5,35.0,3,0,6,9,1,11,63.6,93.8,3.86,-1.99,0.12,0.72,,-1.14,-32.74,Doosan
17,16,박계범,2B,13,1,24.0,4,0,3,5,0,4,0.0,100.0,3.00,-1.26,0.09,0.00,,-1.17,-7.05,Doosan
18,17,박계범,SS,3,2,19.0,1,0,1,10,2,10,70.0,84.6,5.21,-1.12,-0.43,-0.25,,-1.80,-10.80,Doosan
19,18,전민재,2B,2,2,18.0,1,0,3,6,2,8,62.5,81.8,4.50,-2.54,0.07,-0.23,,-2.70,-16.19,Doosan
20,19,박계범,3B,10,0,15.2,0,0,2,2,1,2,50.0,80.0,2.30,-2.37,-0.44,-0.23,,-3.04,-18.27,Doosan
