Rank,Name,Position,G,GS,IP,BAFZ,RF9,ofAss,F12 A,F12 N,F12 %,F23 A,F23 N,F23 %,F34 A,F34 N,F34 %,H13 A,H13 N,H13 %,H24 A,H24 N,H24 %,D14 A,D14 N,D14 %,Range RAA,Arm RAA,Err RAA,Total RAA,/144,Team
1,조수행,LF,26,20,185.0,35.5,2.68,1,0,9,0.0,0,2,0.0,0,0,,1,13,,0,1,,3,6,,5.85,-0.30,0.18,5.74,22.94,Doosan
2,김대한,RF,16,10,97.0,52.6,2.41,0,0,5,0.0,0,4,0.0,0,1,0.0,3,4,0.0,0,3,0.0,0,1,0.0,2.85,-0.42,-0.15,2.28,12.60,Doosan
3,정수빈,CF,42,42,347.0,45.2,2.59,2,1,32,3.1,0,7,0.0,0,3,0.0,11,30,0.0,0,13,0.0,5,7,0.0,-0.69,0.92,0.02,0.26,0.89,Doosan
4,조수행,RF,7,2,22.0,40.0,2.05,1,0,2,0.0,0,0,,0,0,,0,2,,0,0,,1,1,,0.07,0.10,0.08,0.25,0.99,Doosan
5,전다민,CF,1,0,2.0,,0.00,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,,,0.00,0.00,0.22,Doosan
6,김대한,CF,1,0,2.0,,0.00,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.00,,0.00,0.00,0.02,Doosan
7,김태근,RF,5,0,9.0,0.0,3.00,0,0,0,,0,0,,0,0,,0,1,,0,0,,0,0,,0.29,-0.33,0.03,-0.01,-0.05,Doosan
8,홍성호,RF,2,0,4.0,,0.00,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,-0.04,,0.01,-0.03,-1.32,Doosan
9,라모스,RF,30,30,242.0,30.6,1.64,0,0,9,0.0,0,2,0.0,0,0,,3,14,,0,5,,1,4,,0.28,-0.27,-0.14,-0.13,-0.60,Doosan
10,조수행,CF,4,0,12.0,0.0,2.25,1,0,0,,0,0,,0,0,,1,0,,0,1,,0,0,,-0.69,0.17,0.02,-0.51,-2.02,Doosan
11,김인태,RF,1,1,6.0,100.0,3.00,0,0,1,0.0,0,0,,0,0,,0,0,,0,0,,0,0,,-0.68,0.01,0.02,-0.65,-9.30,Doosan
12,김태근,LF,5,3,30.2,28.6,2.35,0,0,4,0.0,0,0,,0,0,,2,7,,0,2,,0,1,,-1.07,0.18,0.03,-0.86,-6.51,Doosan
13,김인태,LF,7,5,38.0,0.0,1.18,0,0,0,,0,0,,0,0,,0,5,,0,0,,0,1,,-1.83,0.43,0.04,-1.37,-19.69,Doosan
14,김태근,CF,5,1,17.0,33.3,1.59,0,0,0,,0,1,0.0,0,0,,1,0,,0,1,,1,1,,-1.11,-0.50,0.03,-1.58,-11.96,Doosan
15,김대한,LF,8,4,41.0,25.0,2.20,0,0,3,0.0,0,0,,0,0,,1,6,,0,2,,0,1,,-2.07,0.36,0.04,-1.67,-9.25,Doosan
16,김재환,LF,11,11,85.1,25.0,2.00,0,0,3,0.0,0,1,0.0,0,0,,1,6,,0,2,,2,4,,-1.75,-0.08,0.08,-1.75,-6.14,Doosan
