Rank,Name,Position,WAR,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,rRA9pf,FIP,WHIP,Team
1,곽빈,P,1.53,9,9,0,0,0,0,3,4,0,0,52.0,22,23,21.80,219,46,7,0,1,19,2,0,51,2,0,5,3.81,3.98,3.77,3.69,3.24,1.25,Doosan
2,브랜든,P,1.39,6,6,0,0,0,0,4,2,0,0,34.0,6,11,9.45,139,28,5,1,0,5,3,0,34,6,0,2,1.59,2.91,2.50,2.57,2.44,0.97,Doosan
3,알칸타라,P,1.24,5,5,0,0,0,0,1,1,0,0,31.1,8,9,8.65,121,23,4,2,1,7,1,0,16,1,0,0,2.30,2.59,2.48,2.61,4.11,0.96,Doosan
4,홍건희,P,0.59,15,0,15,11,0,0,0,0,6,0,13.1,2,2,2.35,55,6,0,0,0,10,0,2,9,0,0,2,1.35,1.35,1.59,1.71,4.39,1.20,Doosan
5,이병헌,P,0.53,23,0,23,2,0,0,4,0,0,3,22.0,7,8,8.80,91,15,3,0,1,13,0,0,19,0,1,0,2.86,3.27,3.60,3.69,4.43,1.27,Doosan
6,김택연,P,0.49,16,0,16,6,0,0,1,0,0,3,17.1,4,5,5.00,76,14,6,0,0,10,1,0,20,1,0,0,2.08,2.60,2.60,2.60,3.30,1.38,Doosan
7,김강률,P,0.27,7,0,7,0,0,0,0,0,0,1,7.0,1,2,1.30,31,8,0,0,0,1,0,0,6,1,0,0,1.29,2.57,1.67,1.80,2.51,1.29,Doosan
8,최지강,P,0.26,23,0,23,0,0,0,1,0,0,10,20.2,5,6,10.85,94,19,2,1,2,10,5,1,20,1,0,1,2.18,2.61,4.72,4.80,5.05,1.40,Doosan
9,최준호,P,0.21,5,4,1,0,0,0,1,0,0,0,21.1,11,14,14.15,95,23,2,1,6,8,1,0,22,1,0,1,4.64,5.91,5.97,5.94,6.29,1.45,Doosan
10,김유성,P,0.18,3,3,0,0,0,0,1,0,0,0,9.1,5,5,4.65,44,9,4,0,1,7,0,0,7,0,0,0,4.82,4.82,4.48,4.64,5.94,1.71,Doosan
11,박신지,P,0.15,6,1,5,1,0,0,0,1,0,0,8.2,2,3,4.05,41,8,2,0,0,8,1,0,3,1,0,0,2.08,3.12,4.21,4.25,6.57,1.85,Doosan
12,최원준,P,0.11,6,6,0,0,0,0,2,2,0,0,27.2,21,21,20.30,123,28,7,2,7,11,2,0,22,1,0,0,6.83,6.83,6.60,6.65,6.69,1.41,Doosan
13,박치국,P,0.08,21,0,21,5,0,0,0,2,1,2,18.1,12,12,11.85,86,22,0,0,5,5,5,1,11,1,0,0,5.89,5.89,5.82,5.69,7.48,1.47,Doosan
14,이영하,P,0.06,10,1,9,2,0,0,1,0,0,0,13.2,9,10,9.65,75,21,3,1,1,13,0,0,10,1,0,3,5.93,6.59,6.35,6.43,6.21,2.49,Doosan
15,박정수,P,0.05,15,1,14,1,0,0,1,2,0,3,15.2,10,11,11.55,71,19,2,0,0,7,0,0,14,0,0,2,5.74,6.32,6.64,6.62,3.37,1.66,Doosan
16,이교훈,P,0.04,1,0,1,1,0,0,0,0,0,0,1.0,0,0,0.00,3,0,0,0,0,1,0,0,0,0,0,0,0.00,0.00,0.00,0.00,7.31,1.00,Doosan
17,최종인,P,-0.01,1,0,1,0,0,0,0,0,0,0,1.0,2,2,2.00,6,2,0,0,0,1,0,0,3,0,0,0,18.00,18.00,18.00,16.64,-0.19,3.00,Doosan
18,김민규,P,-0.01,5,0,5,2,0,0,0,0,0,0,4.0,4,6,3.95,20,4,2,0,1,4,0,0,2,1,0,0,9.00,13.50,8.89,8.86,9.04,2.00,Doosan
19,정철원,P,-0.05,13,0,13,9,0,0,1,1,6,0,10.2,7,7,7.85,58,13,2,0,2,9,4,0,12,1,0,0,5.91,5.91,6.62,6.55,7.41,2.06,Doosan
20,박소준,P,-0.06,1,1,0,0,0,0,0,1,0,0,4.0,5,5,5.00,20,6,0,0,2,2,0,0,2,0,0,1,11.25,11.25,11.25,10.48,10.46,2.00,Doosan
21,김동주,P,-0.09,8,5,3,1,0,0,1,1,0,0,27.0,16,23,21.65,139,38,7,1,0,14,4,0,20,2,0,6,5.33,7.67,7.22,7.43,4.43,1.93,Doosan
22,김호준,P,-0.13,10,1,9,2,0,0,1,2,0,0,8.2,8,9,8.30,44,15,4,0,1,2,2,0,5,0,0,0,8.31,9.35,8.62,8.45,5.58,1.96,Doosan
23,김명신,P,-0.27,14,0,14,0,0,0,1,0,0,4,11.1,12,12,12.85,61,23,3,0,2,5,0,0,12,1,0,0,9.53,9.53,10.20,10.79,5.04,2.47,Doosan
