Name,Team,Position,WAR,G,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+
로하스,KT,RF,2.17,42,194,192,160,30,45,12,0,10,87,28,0,1,31,2,2,41,4,0,1,0.281,0.402,0.544,0.946,0.063,144.6
문상철,KT,1B,2.06,35,121,121,102,18,35,2,0,8,61,19,2,0,15,3,1,24,4,0,1,0.343,0.438,0.598,1.036,0.111,181.7
강백호,KT,RF,1.86,42,196,196,183,33,63,11,0,12,110,41,0,2,10,1,0,36,1,0,2,0.344,0.378,0.601,0.979,0.080,157.6
장성우,KT,C,1.00,39,135,135,117,12,32,4,0,4,48,21,0,0,16,0,0,22,1,0,2,0.274,0.356,0.410,0.766,-0.004,94.0
신본기,KT,SS,0.76,24,44,42,33,6,10,1,0,2,17,7,1,0,8,0,0,8,1,2,1,0.303,0.429,0.515,0.944,0.064,143.4
천성호,KT,2B,0.46,42,190,189,177,34,57,7,3,1,73,16,4,0,10,1,0,30,4,1,1,0.322,0.360,0.412,0.772,0.012,105.8
김상수,KT,SS,0.34,34,121,117,107,18,27,6,1,2,41,18,2,0,7,2,0,14,4,4,1,0.252,0.308,0.383,0.691,-0.019,83.2
조대현,KT,C,0.23,7,9,8,6,0,3,0,0,0,3,0,0,0,2,0,0,2,0,1,0,0.500,0.625,0.500,1.125,0.173,214.6
김병준,KT,LF,0.17,23,10,10,8,7,3,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0.375,0.500,0.375,0.875,0.058,141.0
김준태,KT,C,0.15,12,18,18,17,4,5,1,0,0,6,1,0,0,1,0,0,4,0,0,0,0.294,0.333,0.353,0.686,-0.029,74.9
황재균,KT,3B,0.11,41,165,162,149,15,36,5,0,0,41,10,3,1,13,0,0,26,5,3,0,0.242,0.302,0.275,0.577,-0.068,46.4
박경수,KT,2B,0.08,5,3,3,3,2,2,1,0,0,3,1,0,0,0,0,0,1,0,0,0,0.667,0.667,1.000,1.667,0.355,367.4
김민혁,KT,LF,0.03,32,100,100,91,8,29,3,0,0,32,16,1,0,8,0,0,10,2,0,1,0.319,0.370,0.352,0.722,0.000,97.1
오윤석,KT,2B,0.02,5,6,6,5,1,1,0,0,0,1,2,0,0,1,0,0,2,0,0,0,0.200,0.333,0.200,0.533,-0.065,47.2
장준원,KT,3B,-0.05,5,4,4,4,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.250,0.250,0.250,0.500,-0.110,13.0
송민섭,KT,RF,-0.08,5,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-0.297,-129.0
김건형,KT,LF,-0.14,8,22,22,21,1,3,1,0,0,4,1,0,0,1,0,0,8,0,0,0,0.143,0.182,0.190,0.372,-0.080,35.7
홍현빈,KT,CF,-0.14,4,3,3,2,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0.000,0.333,0.000,0.333,-0.088,29.5
안치영,KT,RF,-0.20,18,38,36,35,8,8,0,0,0,8,3,0,1,1,0,0,10,0,2,0,0.229,0.250,0.229,0.479,-0.100,24.8
배정대,KT,CF,-0.31,14,68,68,62,6,18,3,0,1,24,9,3,2,4,0,0,20,0,0,2,0.290,0.324,0.387,0.711,-0.023,79.6
정준영,KT,LF,-0.34,10,16,15,12,3,1,0,0,0,1,0,0,0,3,0,0,3,0,1,0,0.083,0.267,0.083,0.350,-0.065,50.6
조용호,KT,LF,-0.34,34,105,104,98,12,25,3,0,0,28,8,3,0,6,0,0,20,3,1,0,0.255,0.298,0.286,0.584,-0.057,53.9
이호연,KT,2B,-0.39,16,24,24,23,2,4,0,0,0,4,0,0,0,1,0,0,7,2,0,0,0.174,0.208,0.174,0.382,-0.152,-18.8
박병호,KT,1B,-0.47,37,100,100,86,7,17,1,0,3,27,10,1,0,11,3,0,32,8,0,0,0.198,0.310,0.314,0.624,-0.041,65.6
