Name,Team,Position,Total RAA,G,GS,IP,ifH,FC,PO,Ass,E,BBO,BBO%,F%,RF9,Range RAA,Err RAA,DP RAA,Bt RAA,/144
황재균,KT,3B,5.44,41,39,335.1,11,0,27,76,4,59,74.6,96.3,2.76,4.93,0.20,0.19,0.12,19.11
문상철,KT,1B,5.41,24,23,175.0,6,0,162,15,0,108,94.4,100.0,9.10,4.98,0.43,,,22.26
신본기,KT,SS,3.12,22,8,91.1,4,0,14,29,1,34,85.3,97.7,4.24,1.69,0.33,1.10,,18.71
황재균,KT,1B,0.78,1,0,1.0,0,0,2,0,0,0,,100.0,18.00,0.78,0.00,,,2.74
이호연,KT,3B,0.47,7,3,26.0,3,0,0,2,0,1,-200.0,100.0,0.69,0.38,0.09,,,4.21
오윤석,KT,3B,0.22,1,0,2.0,0,0,0,1,0,1,100.0,100.0,4.50,0.21,0.01,,,6.20
오윤석,KT,2B,0.13,2,0,9.0,0,0,3,1,0,4,100.0,100.0,4.00,0.10,0.03,,,3.76
오윤석,KT,1B,0.07,1,0,1.0,0,0,2,0,0,0,,100.0,18.00,0.07,0.00,,,2.09
장준원,KT,SS,0.00,3,1,13.0,0,0,1,2,0,3,100.0,100.0,2.08,-0.05,0.05,,,0.02
천성호,KT,3B,0.00,2,0,3.0,1,0,0,0,0,0,,,0.00,-0.01,0.01,,,0.00
박병호,KT,1B,-0.31,28,19,192.1,10,0,166,13,2,100,88.0,98.9,8.38,-0.78,0.47,,-0.01,-1.22
황재균,KT,SS,-0.32,1,0,1.0,1,0,0,0,0,0,,,0.00,-0.32,0.00,,,-1.12
신본기,KT,3B,-0.38,2,0,3.0,1,0,0,1,0,0,,100.0,3.00,-0.20,0.01,-0.19,,-2.27
박경수,KT,2B,-0.45,3,0,3.1,0,0,1,1,0,1,100.0,100.0,5.40,-0.46,0.01,,,-12.85
신본기,KT,2B,-0.68,4,0,4.2,1,0,0,0,0,0,,,0.00,-0.70,0.02,,,-4.08
이호연,KT,2B,-1.02,5,0,10.0,2,0,2,2,0,4,50.0,100.0,3.60,-1.06,0.04,,,-9.21
김상수,KT,SS,-1.80,34,33,264.0,11,0,57,67,4,64,76.6,96.9,4.23,-0.64,-0.06,-1.10,,-7.64
천성호,KT,2B,-7.19,42,42,342.1,13,0,64,99,3,87,81.6,98.2,4.29,-7.96,0.77,0.00,,-24.66
