Name,Team,Position,Total RAA,G,GS,IP,BAFZ,RF9,ofAss,F12 A,F12 N,F12 %,F23 A,F23 N,F23 %,F34 A,F34 N,F34 %,H13 A,H13 N,H13 %,H24 A,H24 N,H24 %,D14 A,D14 N,D14 %,Range RAA,Arm RAA,Err RAA,/144
·ÎÇÏ½º,KT,LF,3.92,35,32,275.0,45.3,2.42,1,0,22,0.0,0,1,0.0,0,6,0.0,8,19,0.0,0,9,0.0,3,7,0.0,5.02,-1.36,0.26,13.44
Á¶¿ëÈ£,KT,RF,2.64,29,21,186.0,23.1,1.89,1,0,5,0.0,0,1,0.0,0,0,,4,14,,0,6,,0,0,,1.82,0.15,0.66,11.17
·ÎÇÏ½º,KT,RF,1.19,6,6,45.2,50.0,2.17,1,0,3,0.0,0,0,,0,0,,2,0,,0,2,,0,1,,1.14,-0.11,0.16,4.09
±èº´ÁØ,KT,CF,0.71,14,1,30.0,50.0,3.30,2,0,1,0.0,0,0,,0,0,,1,0,,0,1,,0,0,,0.46,0.21,0.05,4.47
¼Û¹Î¼·,KT,CF,0.12,2,0,5.0,0.0,3.60,0,0,0,,0,0,,0,0,,1,1,,0,1,,0,1,,0.01,0.10,0.01,3.40
¾ÈÄ¡¿µ,KT,RF,0.07,4,1,13.0,14.3,1.38,0,0,0,,0,1,0.0,0,0,,1,3,,0,2,,0,1,,-0.29,0.31,0.05,0.54
Á¤ÁØ¿µ,KT,CF,0.00,1,0,2.0,,0.00,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,,,0.00,0.04
¾ÈÄ¡¿µ,KT,LF,0.00,2,0,2.0,,0.00,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.00,,0.00,0.01
°­¹éÈ£,KT,RF,-0.02,3,1,11.0,0.0,1.64,0,0,0,,0,0,,0,0,,1,1,,0,1,,0,0,,-0.01,-0.05,0.04,-0.08
±èº´ÁØ,KT,LF,-0.06,3,0,4.0,100.0,2.25,2,0,1,0.0,0,0,,0,0,,0,0,,0,0,,0,0,,-0.06,-0.01,0.00,-0.38
±è°ÇÇü,KT,RF,-0.14,8,8,56.0,0.0,2.73,0,0,0,,0,0,,0,0,,0,1,,0,0,,0,1,,-0.89,0.56,0.20,-2.48
È«Çöºó,KT,RF,-0.27,1,0,2.0,,0.00,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,-0.42,0.14,0.01,-9.86
¼Û¹Î¼·,KT,RF,-0.33,3,0,4.0,0.0,0.00,0,0,0,,0,0,,0,0,,0,2,,0,0,,0,0,,-0.20,-0.15,0.01,-9.55
±èº´ÁØ,KT,RF,-0.58,4,0,8.0,0.0,3.38,2,0,0,,0,0,,0,0,,1,1,,0,1,,0,0,,-0.30,-0.31,0.03,-3.63
¾ÈÄ¡¿µ,KT,CF,-0.60,12,11,81.0,58.3,1.78,0,0,4,0.0,0,2,0.0,0,1,0.0,2,3,0.0,0,2,0.0,0,0,0.0,-0.22,-0.50,0.12,-4.76
±è¹ÎÇõ,KT,RF,-0.67,5,2,16.1,0.0,0.00,0,0,0,,0,0,,0,0,,4,5,,0,4,,0,0,,-0.58,-0.14,0.06,-3.01
·ÎÇÏ½º,KT,CF,-0.84,3,2,17.0,,4.24,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,-0.87,0.01,0.03,-2.87
±è¹ÎÇõ,KT,LF,-1.10,6,6,47.2,20.0,2.08,0,0,1,0.0,0,0,,0,1,0.0,2,2,0.0,0,3,0.0,0,2,0.0,-0.70,0.06,-0.45,-4.93
È«Çöºó,KT,CF,-1.13,3,1,10.0,0.0,0.90,0,0,0,,0,0,,0,0,,2,4,,0,2,,0,0,,-1.26,0.12,0.02,-40.60
Á¤ÁØ¿µ,KT,LF,-1.49,4,0,6.0,0.0,0.00,0,0,0,,0,0,,0,0,,0,1,,0,0,,1,1,,-1.35,-0.15,0.01,-21.43
Á¤ÁØ¿µ,KT,RF,-1.74,6,3,27.1,18.2,2.30,0,0,0,,0,1,0.0,0,1,0.0,0,8,0.0,0,0,0.0,0,1,0.0,-1.88,0.04,0.10,-25.12
±è¹ÎÇõ,KT,CF,-2.07,14,13,105.1,47.6,2.39,0,0,8,0.0,0,2,0.0,0,0,,2,8,,0,2,,0,0,,-1.25,-0.47,-0.34,-9.30
Á¶¿ëÈ£,KT,LF,-3.62,6,4,34.2,42.9,1.82,1,0,1,0.0,0,0,,0,2,0.0,0,3,0.0,0,0,0.0,1,1,0.0,-3.75,0.10,0.03,-15.35
¹èÁ¤´ë,KT,CF,-5.15,14,14,119.0,34.3,2.65,0,0,6,0.0,0,3,0.0,0,3,0.0,4,12,0.0,0,6,0.0,2,4,0.0,-4.79,-0.04,-0.32,-52.94
