Name,Team,Position,WAR,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,rRA9pf,FIP,WHIP
쿠에바스,KT,P,2.14,9,9,0,0,0,0,2,3,0,0,55.1,19,20,20.00,225,44,10,0,6,14,0,1,58,6,0,0,3.09,3.25,3.25,3.14,3.61,1.05
벤자민,KT,P,0.97,8,8,0,0,0,0,4,2,0,0,43.1,25,26,24.15,175,33,7,1,9,13,2,0,45,2,0,0,5.19,5.40,5.02,4.93,5.16,1.06
엄상백,KT,P,0.62,9,9,0,0,0,0,2,6,0,0,45.0,31,32,32.00,203,54,11,0,10,15,1,0,51,0,0,1,6.20,6.40,6.40,6.08,5.13,1.53
박영현,KT,P,0.32,16,0,16,12,0,0,3,2,3,0,20.1,11,11,11.20,85,19,2,0,3,7,0,2,25,0,0,0,4.87,4.87,4.96,4.96,3.81,1.28
김민수,KT,P,0.24,21,0,21,3,0,0,2,1,0,7,22.1,12,12,13.35,96,24,5,2,2,8,1,0,20,0,0,3,4.84,4.84,5.38,5.34,4.29,1.43
육청명,KT,P,0.23,6,5,1,1,0,0,1,2,0,0,22.1,15,17,15.80,106,27,5,1,4,10,3,1,8,3,0,2,6.04,6.85,6.37,6.43,7.12,1.66
우규민,KT,P,0.14,11,0,11,4,0,0,0,1,0,1,9.1,6,6,6.00,45,17,3,0,0,0,0,0,7,0,0,0,5.79,5.79,5.79,5.42,2.34,1.82
이선우,KT,P,0.12,6,1,5,3,0,0,0,0,0,0,10.0,6,6,5.35,45,10,0,0,0,4,2,0,4,0,0,0,5.40,5.40,4.82,4.96,5.07,1.40
고영표,KT,P,0.07,2,2,0,0,0,0,1,1,0,0,10.0,9,9,8.65,51,20,4,2,0,1,0,0,6,1,0,0,8.10,8.10,7.78,7.18,3.02,2.10
김민,KT,P,0.07,11,1,10,0,0,0,0,1,0,3,12.1,10,10,7.40,59,15,2,0,1,10,0,0,11,0,0,1,7.30,7.30,5.40,5.59,5.46,2.03
김영현,KT,P,0.04,2,0,2,0,0,0,0,0,0,0,3.0,2,2,2.00,14,6,2,0,0,0,0,0,1,0,0,0,6.00,6.00,6.00,5.53,3.38,2.00
강건,KT,P,0.03,3,0,3,2,0,0,0,0,0,0,2.2,1,1,1.85,14,4,0,0,0,3,0,0,2,0,0,0,3.38,3.38,6.24,5.76,5.83,2.63
주권,KT,P,0.01,19,0,19,5,0,0,1,0,0,0,24.0,18,19,19.35,105,30,5,2,2,6,2,0,15,1,0,0,6.75,7.13,7.26,7.02,4.68,1.50
이상동,KT,P,0.01,9,0,9,1,0,0,0,1,0,3,9.0,6,6,6.35,45,12,4,0,0,7,0,1,9,0,0,2,6.00,6.00,6.35,6.28,4.13,2.11
한차현,KT,P,0.01,2,0,2,2,0,0,0,0,0,0,1.2,1,1,1.00,9,2,1,0,0,2,0,0,1,0,0,0,5.40,5.40,5.40,5.82,6.43,2.40
이채호,KT,P,-0.01,6,0,6,1,0,0,0,0,0,0,3.2,4,4,2.80,22,7,0,0,0,3,1,0,2,0,0,0,9.82,9.82,6.87,7.16,6.23,2.73
박세진,KT,P,-0.03,1,0,1,0,0,0,0,0,0,0,0.2,0,0,1.70,3,2,0,0,0,0,0,0,0,0,0,0,0.00,0.00,22.95,24.75,4.21,3.00
성재헌,KT,P,-0.04,5,0,5,2,0,0,0,0,0,0,4.0,5,5,5.35,20,7,4,1,1,3,0,0,1,0,0,1,11.25,11.25,12.04,11.41,8.89,2.50
전용주,KT,P,-0.09,4,0,4,0,0,0,0,0,0,0,1.2,2,3,3.15,11,2,0,0,0,3,1,0,4,0,0,0,10.80,16.20,17.01,16.97,5.65,3.00
박시영,KT,P,-0.10,8,0,8,2,0,0,0,1,0,0,5.2,6,6,6.70,30,11,4,1,1,3,0,0,5,0,0,1,9.53,9.53,10.64,10.22,5.75,2.47
원상현,KT,P,-0.12,8,7,1,0,0,0,1,3,0,0,31.1,27,29,28.50,154,55,10,1,4,12,0,0,26,0,0,5,7.76,8.33,8.19,8.29,4.85,2.14
문용익,KT,P,-0.15,7,0,7,1,0,0,0,0,0,0,9.2,13,13,13.85,53,12,2,0,2,10,2,0,9,1,0,2,12.10,12.10,12.89,13.52,8.20,2.28
조이현,KT,P,-0.15,6,0,6,2,0,0,0,0,0,0,6.1,9,9,9.15,34,13,1,0,2,2,0,0,4,0,0,0,12.79,12.79,13.00,12.36,7.37,2.37
손동현,KT,P,-0.17,15,0,15,1,0,0,0,0,0,2,15.2,12,14,15.35,83,23,3,1,2,11,1,0,7,2,0,1,6.89,8.04,8.82,8.65,6.99,2.17
