Rank,Name,Position,WAR, G,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,Team
1,김혜성,2B,2.18,34,153,153,140,25,40,4,1,7,67,24,8,1,11,2,0,14,1,0,0,0.286,0.346,0.479,0.825,0.028,118.4,KW
2,도슨,LF,1.61,40,179,179,160,28,56,12,2,6,90,23,1,2,16,2,0,26,2,0,1,0.350,0.413,0.563,0.976,0.081,158.8,KW
3,송성문,3B,1.01,40,143,143,126,16,34,4,1,6,58,25,0,0,13,1,0,17,2,0,3,0.270,0.336,0.460,0.796,0.013,106.9,KW
4,이형종,RF,0.94,21,87,87,71,18,19,3,0,4,34,17,1,0,15,1,0,17,0,0,0,0.268,0.402,0.479,0.881,0.061,143.6,KW
5,이주형,CF,0.68,11,49,49,46,10,17,3,1,1,25,3,0,0,3,0,0,10,0,0,0,0.370,0.408,0.543,0.951,0.091,166.2,KW
6,이용규,LF,0.67,23,100,98,83,12,26,3,0,1,32,5,1,1,12,2,0,17,0,2,1,0.313,0.408,0.386,0.794,0.026,116.1,KW
7,고영우,3B,0.42,25,70,70,64,7,24,4,0,0,28,7,0,0,6,0,0,17,0,0,0,0.375,0.429,0.438,0.867,0.052,136.4,KW
8,변상권,CF,0.35,19,56,56,52,3,14,1,0,2,21,9,0,0,3,0,0,14,2,0,1,0.269,0.304,0.404,0.708,-0.010,89.4,KW
9,주성원,RF,0.06,18,44,43,39,6,9,1,0,1,13,5,0,0,4,0,0,14,2,1,0,0.231,0.302,0.333,0.635,-0.023,80.0,KW
10,송지후,2B,0.04,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.539,507.6,KW
11,김시앙,C,0.03,5,6,6,6,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.167,0.167,0.167,0.334,-0.193,-50.0,KW
12,김주형,SS,0.03,2,2,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.000,0.500,0.000,0.500,0.036,124.4,KW
13,김재웅,P,0.00,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,KW
13,김연주,P,0.00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,KW
13,김윤하,P,0.00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,KW
13,문성현,P,0.00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,KW
13,주승우,P,0.00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,KW
18,김휘집,SS,-0.02,39,156,154,138,19,33,7,1,4,54,23,0,0,12,3,1,43,9,1,2,0.239,0.310,0.391,0.701,-0.026,77.3,KW
19,김동헌,C,-0.09,2,7,7,5,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0.200,0.429,0.200,0.629,0.001,97.3,KW
20,박성빈,C,-0.10,6,9,9,8,0,1,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0.125,0.222,0.125,0.347,-0.153,-19.6,KW
21,김웅빈,1B,-0.10,1,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0.000,0.000,0.000,0.000,-0.309,-78.7,KW
22,이승원,2B,-0.12,3,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0.000,0.000,0.000,0.000,-0.321,-98.2,KW
23,김태진,3B,-0.19,8,14,14,14,1,3,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0.214,0.214,0.214,0.428,-0.141,-10.4,KW
24,박준형,C,-0.26,4,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.000,0.000,0.000,0.000,-0.314,-142.0,KW
25,이재상,SS,-0.31,11,26,26,26,3,6,1,0,1,10,3,0,0,0,0,0,8,0,0,0,0.231,0.231,0.385,0.616,-0.096,23.9,KW
26,김재현,C,-0.36,38,124,122,112,13,26,7,0,0,33,11,0,0,3,4,0,29,4,2,3,0.232,0.270,0.295,0.565,-0.077,38.9,KW
27,이원석,1B,-0.54,27,81,81,68,5,16,3,0,0,19,6,0,0,10,1,0,11,1,0,2,0.235,0.333,0.279,0.612,-0.049,59.5,KW
28,박수종,CF,-0.59,14,37,37,34,5,6,0,0,0,6,2,0,0,2,1,0,1,1,0,0,0.176,0.243,0.176,0.419,-0.128,-0.7,KW
29,예진원,CF,-0.61,22,21,21,19,2,4,1,0,0,5,0,0,0,2,0,0,8,1,0,0,0.211,0.286,0.263,0.549,-0.084,32.5,KW
30,임지열,LF,-0.70,16,41,41,37,3,4,0,0,1,7,4,0,0,3,0,0,12,2,0,1,0.108,0.171,0.189,0.360,-0.124,2.6,KW
31,최주환,1B,-0.95,31,135,135,121,13,22,4,0,4,38,17,0,1,11,2,1,27,4,0,1,0.182,0.259,0.314,0.573,-0.081,35.2,KW
