Rank,Name,Postion,G,GS,IP,BAFZ,RF9,ofAss,F12 A,F12 N,F12 %,F23 A,F23 N,F23 %,F34 A,F34 N,F34 %,H13 A,H13 N,H13 %,H24 A,H24 N,H24 %,D14 A,D14 N,D14 %,Range RAA,Arm RAA,Err RAA,Total RAA,/144,Team
1,권희동,LF,37,36,295.2,41.4,2.47,2,0,20,0.0,0,4,0.0,0,0,,8,19,,0,11,,1,4,,7.58,0.42,0.28,8.28,30.57,NC
2,최정원,CF,14,3,46.1,61.5,3.50,0,0,6,0.0,0,2,0.0,0,0,,1,2,,0,1,,1,2,,3.77,-0.02,0.07,3.82,24.99,NC
3,김성욱,CF,34,32,266.2,55.1,2.50,1,0,18,0.0,0,5,0.0,0,4,0.0,6,14,0.0,0,6,0.0,1,2,0.0,2.41,-0.52,0.40,2.29,8.47,NC
4,손아섭,LF,3,3,24.0,22.2,2.25,0,0,1,0.0,0,1,0.0,0,0,,2,4,,0,2,,0,1,,0.83,0.11,0.02,0.96,3.55,NC
5,박건우,RF,32,32,255.1,41.7,1.94,1,0,11,0.0,0,6,0.0,0,3,0.0,3,17,0.0,0,6,0.0,1,5,0.0,-0.80,0.33,0.91,0.43,1.65,NC
6,김성욱,RF,7,2,24.0,25.0,0.75,1,0,1,0.0,0,0,,0,0,,1,2,,0,1,,0,0,,0.50,-0.30,0.09,0.28,1.03,NC
7,박영빈,LF,4,0,8.0,100.0,1.13,0,0,1,0.0,0,0,,0,0,,0,0,,0,0,,0,0,,0.27,-0.01,0.01,0.27,6.44,NC
8,김성욱,LF,5,0,10.0,,0.00,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,-0.35,,0.01,-0.34,-1.26,NC
9,손아섭,RF,6,5,40.0,60.0,1.35,0,0,2,0.0,0,1,0.0,0,0,,0,1,,0,0,,0,1,,-1.12,-0.01,0.14,-0.99,-3.65,NC
10,천재환,LF,7,1,22.0,28.6,2.45,1,0,0,,0,1,0.0,0,1,0.0,0,3,0.0,0,1,0.0,0,1,0.0,-1.35,0.25,0.02,-1.08,-5.37,NC
11,천재환,CF,10,5,46.2,25.0,2.70,1,0,0,,0,1,0.0,0,0,,1,1,,0,1,,0,1,,-2.28,0.56,0.07,-1.65,-8.21,NC
12,천재환,RF,14,1,40.1,14.3,0.89,1,0,0,,1,1,100.0,0,0,,0,3,,0,0,,0,3,,-5.34,0.90,0.14,-4.29,-21.32,NC
