Rank,Name,Position,WAR,G,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,Team
1,박민우,2B,2.09,37,170,165,143,21,43,7,1,1,55,13,16,3,18,6,3,27,1,2,1,0.301,0.399,0.385,0.784,0.026,116.1,NC
2,박건우,RF,1.80,38,153,151,134,25,48,10,1,3,69,19,2,0,18,1,2,27,1,0,0,0.358,0.438,0.515,0.953,0.075,152.9,NC
3,권희동,LF,1.64,39,164,164,128,21,33,9,1,1,47,21,1,0,28,5,0,22,1,0,3,0.258,0.402,0.367,0.769,0.018,110.8,NC
4,김주원,SS,1.08,40,136,131,111,15,23,4,1,3,38,15,5,1,14,5,0,42,0,5,1,0.207,0.321,0.342,0.663,-0.036,70.7,NC
5,김형준,C,0.91,33,133,132,111,18,27,4,0,8,55,22,0,0,20,1,0,47,3,1,0,0.243,0.364,0.495,0.859,0.017,109.6,NC
6,데이비슨,1B,0.70,32,141,141,121,23,32,8,0,8,64,27,0,1,13,6,0,39,2,0,1,0.264,0.362,0.529,0.891,0.042,128.7,NC
7,김성욱,CF,0.53,39,145,145,126,23,25,5,0,7,51,24,5,1,14,5,0,31,4,0,0,0.198,0.303,0.405,0.708,-0.019,82.5,NC
8,서호철,3B,0.52,40,167,166,145,19,44,5,0,2,55,25,1,2,16,4,0,34,7,1,1,0.303,0.386,0.379,0.765,0.012,106.3,NC
9,손아섭,DH,0.46,39,178,178,170,24,51,8,0,3,68,29,6,1,7,0,0,34,0,0,1,0.300,0.326,0.400,0.726,-0.005,93.1,NC
10,최정원,2B,0.27,22,48,47,37,11,9,0,0,0,9,4,3,0,7,2,0,14,1,1,1,0.243,0.383,0.243,0.626,-0.029,75.3,NC
11,오영수,3B,0.24,13,25,25,22,3,5,0,0,2,11,3,0,0,1,1,0,5,0,0,1,0.227,0.280,0.500,0.780,0.005,100.8,NC
12,박세혁,C,0.22,22,46,44,38,3,10,3,0,0,13,2,1,0,5,1,0,13,0,2,0,0.263,0.364,0.342,0.706,-0.007,92.0,NC
13,김한별,SS,0.07,18,31,31,27,6,10,1,0,0,11,2,0,0,1,3,0,7,0,0,0,0.370,0.452,0.407,0.859,0.045,130.8,NC
14,박영빈,CF,0.07,6,3,3,3,1,1,1,0,0,2,0,2,0,0,0,0,2,0,0,0,0.333,0.333,0.667,1.000,0.057,139.9,NC
15,김수윤,1B,0.03,4,6,6,5,0,1,0,0,0,1,0,0,0,1,0,0,3,0,0,0,0.200,0.333,0.200,0.533,-0.064,47.8,NC
16,한재승,P,0.00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,NC
17,김세훈,2B,0.00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,NC
18,도태훈,3B,-0.02,23,33,33,27,3,4,2,0,0,6,2,0,0,3,2,0,6,1,0,1,0.148,0.273,0.222,0.495,-0.089,29.3,NC
19,천재환,CF,-0.48,29,50,48,44,8,13,2,1,1,20,8,3,0,2,2,0,8,3,2,0,0.295,0.354,0.455,0.809,0.003,99.2,NC
