Rank,Name,Position,WAR,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,rRA9pf,FIP,WHIP,Team
1,하트,P,1.26,8,8,0,0,0,0,4,1,0,0,48.1,16,19,19.00,198,42,6,1,2,13,2,0,50,5,0,1,2.98,3.54,3.54,3.66,3.08,1.14,NC
2,김시훈,P,1.24,8,8,0,0,0,0,2,0,0,0,38.2,12,13,12.65,167,37,6,0,3,22,1,0,25,2,0,1,2.79,3.03,2.94,3.06,5.37,1.53,NC
3,신민혁,P,0.96,8,8,0,0,0,0,2,3,0,0,42.1,16,19,18.65,183,54,8,0,6,3,1,0,30,1,0,1,3.40,4.04,3.96,4.03,4.42,1.35,NC
4,김재열,P,0.69,21,0,21,1,0,0,1,0,0,6,21.0,3,3,5.05,79,10,1,0,1,7,0,0,20,0,0,0,1.29,1.29,2.16,2.24,3.43,0.81,NC
5,카스타노,P,0.64,8,8,0,0,0,0,3,2,0,0,49.1,20,28,28.00,208,46,11,0,6,8,4,0,40,5,0,0,3.65,5.11,5.11,5.17,4.39,1.09,NC
6,이용찬,P,0.56,21,0,21,17,0,0,2,3,8,0,22.0,6,7,8.25,91,22,4,1,1,6,1,1,19,1,0,3,2.45,2.86,3.38,3.34,3.58,1.27,NC
7,이재학,P,0.52,7,7,0,0,0,0,2,4,0,0,37.2,18,21,20.65,162,34,8,2,6,13,3,0,35,1,0,0,4.30,5.02,4.93,4.97,5.10,1.25,NC
8,한재승,P,0.52,20,0,20,4,0,0,0,0,0,4,18.0,3,3,5.80,73,15,1,0,0,7,0,0,17,0,0,2,1.50,1.50,2.90,2.89,3.06,1.22,NC
9,임정호,P,0.35,15,0,15,1,0,0,1,1,0,4,12.0,4,5,4.45,60,14,1,0,0,8,1,1,10,1,0,0,3.00,3.75,3.34,3.25,4.20,1.83,NC
10,이준호,P,0.16,12,0,12,3,0,0,2,2,0,0,13.0,6,6,6.35,59,13,2,0,2,8,1,0,9,0,0,0,4.15,4.15,4.40,4.37,6.46,1.62,NC
11,류진욱,P,0.09,13,0,13,1,0,0,0,0,0,3,11.1,6,6,6.85,49,12,2,0,0,3,0,0,6,0,0,1,4.76,4.76,5.44,5.25,3.71,1.32,NC
12,신영우,P,0.04,2,1,1,1,0,0,0,0,0,0,5.2,4,4,4.00,29,4,2,0,0,6,2,0,6,0,0,0,6.35,6.35,6.35,6.29,5.94,1.76,NC
13,전사민,P,-0.02,3,0,3,2,0,0,0,0,0,0,2.2,3,3,2.50,17,6,1,0,0,2,1,0,2,0,0,0,10.13,10.13,8.44,7.94,5.83,3.00,NC
14,서의태,P,-0.02,10,0,10,2,0,0,1,0,0,0,7.2,8,8,6.45,32,5,1,0,1,6,0,0,7,0,0,1,9.39,9.39,7.57,7.64,5.91,1.43,NC
15,채원후,P,-0.03,3,0,3,1,0,0,0,0,0,0,3.0,4,4,4.00,18,6,2,0,0,3,0,0,2,0,0,2,12.00,12.00,12.00,11.89,5.65,3.00,NC
16,김영규,P,-0.03,12,0,12,0,0,0,2,1,0,4,10.0,7,10,6.85,46,9,1,0,1,9,0,0,13,1,0,0,6.30,9.00,6.16,6.09,4.94,1.80,NC
17,송명기,P,-0.09,7,0,7,3,0,0,1,0,0,0,8.0,8,8,8.00,37,7,3,0,0,4,2,1,7,0,0,1,9.00,9.00,9.00,8.98,3.96,1.38,NC
18,최성영,P,-0.12,8,0,8,4,0,0,0,0,1,1,9.0,8,8,7.50,46,15,2,0,3,5,0,0,9,0,0,0,8.00,8.00,7.50,7.49,7.40,2.22,NC
