Rank,Name,Position,G,GS,IP,BAFZ,RF9,ofAss,F12 A,F12 N,F12 %,F23 A,F23 N,F23 %,F34 A,F34 N,F34 %,H13 A,H13 N,H13 %,H24 A,H24 N,H24 %,D14 A,D14 N,D14 %,Range RAA,Arm RAA,Err RAA,Total RAA,/144,Team
1,김현준,RF,17,11,95.0,55.6,3.69,0,0,7,0.0,0,2,0.0,0,1,0.0,2,6,0.0,0,2,0.0,0,0,0.0,6.77,-0.03,0.34,7.08,37.77,Samsung
2,이성규,RF,19,11,106.1,36.0,3.05,2,0,7,0.0,0,2,0.0,0,0,,1,10,,0,2,,1,3,,5.22,0.65,-0.12,5.75,21.79,Samsung
3,김지찬,CF,31,28,222.0,50.0,2.72,0,0,12,0.0,0,6,0.0,0,1,0.0,4,13,0.0,0,5,0.0,1,1,0.0,3.04,-0.37,0.33,3.01,10.57,Samsung
4,김성윤,RF,9,7,59.1,46.7,2.28,1,0,4,0.0,0,1,0.0,0,2,0.0,0,5,0.0,0,2,0.0,1,1,0.0,2.53,-0.67,0.21,2.06,11.01,Samsung
5,구자욱,LF,30,30,249.0,44.2,2.31,1,0,11,0.0,1,6,16.7,0,2,0.0,3,15,0.0,0,5,0.0,3,4,0.0,2.26,-0.60,0.24,1.90,7.00,Samsung
6,김헌곤,RF,14,11,90.0,38.5,2.60,0,0,4,0.0,0,0,,0,1,0.0,2,3,0.0,0,3,0.0,1,2,0.0,1.23,-0.29,0.32,1.26,4.90,Samsung
7,류승민,RF,4,0,7.0,100.0,3.86,0,0,1,0.0,0,0,,0,0,,0,0,,0,0,,0,0,,0.88,0.01,0.02,0.92,26.58,Samsung
8,이성규,LF,4,2,15.0,75.0,4.20,2,0,2,0.0,0,0,,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0.98,-0.15,0.01,0.84,3.19,Samsung
9,김성윤,CF,20,5,78.2,37.5,2.86,1,0,2,0.0,0,2,0.0,0,2,0.0,2,7,0.0,0,2,0.0,0,1,0.0,1.10,-0.38,0.12,0.83,4.44,Samsung
10,김재혁,LF,1,1,8.0,100.0,3.38,0,0,1,0.0,0,0,,0,0,,0,0,,0,0,,0,0,,0.74,0.01,0.01,0.76,9.07,Samsung
11,김재혁,RF,6,1,15.0,50.0,1.20,0,0,0,,0,0,,0,1,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0.56,0.13,0.05,0.75,8.96,Samsung
12,김헌곤,CF,1,0,2.0,,0.00,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,-0.01,,0.00,-0.01,-0.04,Samsung
13,김현준,CF,9,3,29.0,40.0,2.79,0,0,1,0.0,0,1,0.0,0,0,,0,3,,0,0,,0,0,,-0.35,-0.01,0.04,-0.33,-1.73,Samsung
14,김재혁,CF,3,0,10.0,0.0,0.90,0,0,0,,0,0,,0,0,,0,1,,0,0,,0,0,,-1.03,0.19,0.02,-0.82,-9.88,Samsung
15,김현준,LF,2,2,12.1,0.0,0.73,0,0,0,,0,0,,0,0,,0,1,,0,0,,0,0,,-0.82,-0.29,0.01,-1.09,-5.83,Samsung
16,이성규,CF,5,5,31.0,0.0,0.87,2,0,0,,0,0,,0,0,,0,2,,0,0,,0,0,,-1.31,-0.09,0.05,-1.36,-5.15,Samsung
17,김헌곤,LF,25,5,80.1,31.6,2.46,0,0,6,0.0,0,0,,0,0,,1,6,,0,2,,0,5,,-1.79,0.16,0.08,-1.55,-6.03,Samsung
18,김성윤,LF,1,1,8.0,50.0,3.38,1,0,0,,0,1,0.0,0,1,0.0,0,1,0.0,0,0,0.0,0,1,0.0,-2.04,-0.43,0.01,-2.46,-13.13,Samsung
