Team,WAR,G,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+
리그 전체,70.88,5034,16318,16167,14277,2143,3917,675,62,379,5853,2034,374,120,1532,242,46,3100,297,119,147,0.274,0.351,0.410,0.761,0.133,100.0
NC,10.13,476,1629,1610,1392,224,379,69,5,39,575,216,45,9,168,44,5,361,24,14,11,0.272,0.366,0.413,0.779,0.139,105.0
KIA,9.64,501,1617,1605,1417,230,416,78,4,45,637,219,52,14,159,19,4,262,34,9,12,0.294,0.370,0.450,0.820,0.143,114.9
두산,9.59,524,1674,1654,1461,243,417,74,9,46,647,230,45,14,145,24,5,304,36,16,28,0.285,0.353,0.443,0.796,0.147,110.5
LG,9.19,505,1719,1703,1470,230,418,66,9,32,598,215,71,23,196,19,7,291,29,12,22,0.284,0.371,0.407,0.778,0.135,108.1
삼성,9.03,524,1672,1649,1444,206,388,72,4,37,579,200,34,8,164,29,6,319,29,18,17,0.269,0.351,0.401,0.752,0.125,94.3
KT,6.97,547,1693,1676,1502,229,425,61,4,43,623,211,20,8,152,12,3,323,39,15,12,0.283,0.351,0.415,0.766,0.137,102.3
SSG,5.62,502,1653,1638,1467,217,393,59,1,42,580,207,46,15,138,27,6,320,21,10,11,0.268,0.340,0.395,0.735,0.133,87.1
한화,4.41,478,1569,1556,1360,194,345,67,8,30,518,184,14,14,161,28,7,308,24,10,10,0.254,0.343,0.381,0.724,0.125,94.9
롯데,3.21,509,1537,1530,1381,179,374,71,12,27,550,167,36,10,121,19,1,315,30,7,9,0.271,0.336,0.398,0.734,0.117,91.8
키움,3.09,468,1555,1546,1383,191,362,58,6,38,546,185,11,5,128,21,2,297,31,8,15,0.262,0.330,0.395,0.725,0.124,89.6
