Team,WAR,G,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+
리그 전체,8.72,537,1826,1811,1614,232,462,70,6,52,700,252,35,12,146,35,7,324,34,11,20,0.286,0.354,0.434,0.788,0.128,104.6
두산,2.46,42,172,172,147,28,54,9,0,2,69,24,1,0,12,9,0,10,1,0,4,0.367,0.436,0.469,0.905,0.163,150.1
KIA,2.04,40,184,182,169,38,56,5,2,11,98,27,17,1,10,2,1,36,1,1,2,0.331,0.372,0.580,0.952,0.209,137.7
SSG,1.33,36,152,152,129,25,35,10,0,12,81,33,3,0,16,6,0,32,4,0,1,0.271,0.375,0.628,1.003,0.165,146.3
키움,1.24,73,227,227,204,24,61,8,1,6,89,32,0,0,19,1,0,35,2,0,3,0.299,0.357,0.436,0.793,0.106,108.8
한화,1.04,40,177,175,157,22,42,3,1,8,71,30,2,0,18,2,4,38,2,0,0,0.268,0.350,0.452,0.802,0.126,104.0
NC,0.74,76,225,224,194,25,53,7,0,4,72,30,1,2,20,7,0,45,8,1,3,0.273,0.357,0.371,0.728,0.112,94.4
KT,0.06,46,169,166,153,16,37,5,0,0,42,10,3,1,13,0,0,27,5,3,0,0.242,0.301,0.275,0.576,0.096,45.6
롯데,-0.02,82,229,227,209,24,58,10,2,4,84,28,6,4,12,6,1,53,3,2,0,0.278,0.335,0.402,0.737,0.106,92.0
LG,-0.03,80,254,252,221,28,60,11,0,5,86,36,2,4,25,1,1,38,7,1,6,0.271,0.340,0.389,0.729,0.111,93.7
삼성,-0.14,22,37,34,31,2,6,2,0,0,8,2,0,0,1,1,0,10,1,3,1,0.194,0.235,0.258,0.493,0.059,18.1
