Team,WAR,G,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+
리그 전체,7.49,625,1818,1797,1575,179,424,56,1,33,581,217,7,2,160,45,5,323,42,18,20,0.269,0.349,0.369,0.718,0.100,89.6
LG,1.81,76,247,243,206,25,57,7,0,8,88,36,1,0,31,5,2,51,6,3,2,0.277,0.381,0.427,0.808,0.103,117.9
두산,1.69,70,240,238,219,26,73,10,0,7,104,42,1,2,14,2,1,32,6,1,4,0.333,0.372,0.475,0.847,0.109,124.1
KT,1.37,58,162,161,140,16,40,5,0,4,57,22,0,0,19,0,0,28,1,1,2,0.286,0.366,0.407,0.773,0.099,98.5
KIA,1.24,62,162,161,141,17,43,7,0,4,62,25,0,0,11,6,0,23,5,1,3,0.305,0.373,0.440,0.813,0.106,110.6
NC,1.13,55,179,176,149,21,37,7,0,8,68,24,1,0,25,2,0,60,3,3,0,0.248,0.364,0.456,0.820,0.119,105.1
한화,1.11,55,157,153,119,16,33,5,0,0,38,13,0,0,19,11,1,26,1,4,4,0.277,0.412,0.319,0.731,0.105,107.9
SSG,0.61,56,170,169,153,18,42,2,0,0,44,20,4,0,8,7,0,13,1,1,1,0.275,0.337,0.288,0.625,0.107,73.1
삼성,0.19,72,198,197,174,19,45,4,0,2,55,17,0,0,20,3,1,28,9,0,1,0.259,0.343,0.316,0.659,0.096,77.9
키움,-0.78,55,151,149,136,14,29,7,0,0,36,12,0,0,5,5,0,35,4,2,3,0.213,0.262,0.265,0.527,0.094,28.6
롯데,-0.88,66,152,150,138,7,25,2,1,0,29,6,0,0,8,4,0,27,6,2,0,0.181,0.247,0.210,0.457,0.047,14.6
