Team,WAR,G,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+
리그 전체,6.70,658,2008,1982,1752,294,448,77,13,29,638,193,114,24,180,30,1,372,40,26,20,0.256,0.332,0.364,0.696,0.148,82.6
삼성,2.28,106,335,327,278,45,67,16,1,6,103,35,14,0,34,11,0,59,6,8,4,0.241,0.343,0.371,0.714,0.138,85.8
KIA,1.76,75,192,191,170,22,50,10,1,4,74,24,14,7,21,0,0,40,5,1,0,0.294,0.372,0.435,0.807,0.115,115.6
두산,1.44,104,340,329,288,57,76,7,2,1,90,21,32,5,32,4,1,38,5,11,5,0.264,0.340,0.313,0.653,0.173,79.3
SSG,1.32,48,204,203,179,32,48,7,1,3,66,14,14,2,23,0,0,33,2,1,1,0.268,0.350,0.369,0.719,0.158,87.6
LG,1.04,58,198,196,174,34,49,7,2,1,63,21,22,3,14,3,0,38,2,2,5,0.282,0.337,0.362,0.699,0.174,78.6
롯데,0.20,56,209,208,187,35,48,11,2,2,69,15,3,3,17,2,0,39,5,1,2,0.257,0.322,0.369,0.691,0.168,77.5
NC,0.12,74,198,196,173,32,39,8,1,8,73,32,10,1,16,7,0,41,7,2,0,0.225,0.316,0.422,0.738,0.163,87.6
키움,-0.17,66,163,163,151,20,41,5,1,3,57,14,0,0,10,1,0,33,4,0,1,0.272,0.319,0.377,0.696,0.123,84.7
KT,-0.45,18,71,71,64,6,18,3,0,1,24,9,3,2,5,0,0,22,0,0,2,0.281,0.324,0.375,0.699,0.085,77.5
한화,-0.86,53,98,98,88,11,12,3,2,0,19,8,2,1,8,2,0,29,4,0,0,0.136,0.224,0.216,0.440,0.112,16.2
