Team,WAR,G,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+
리그 전체,10.77,745,2269,2250,1967,316,555,105,9,49,825,299,58,17,230,30,9,410,33,12,30,0.282,0.361,0.419,0.780,0.140,107.5
롯데,2.31,59,151,151,133,27,42,11,3,5,74,29,15,0,15,1,0,31,2,0,2,0.316,0.384,0.556,0.940,0.179,153.9
삼성,2.10,62,230,228,200,33,58,13,1,8,97,41,5,3,18,7,2,43,1,0,5,0.290,0.361,0.485,0.846,0.145,121.1
NC,1.64,39,164,164,128,21,33,9,1,1,47,21,1,0,28,5,0,22,1,0,3,0.258,0.402,0.367,0.769,0.128,110.8
키움,1.58,79,320,318,280,43,86,15,2,8,129,32,2,3,31,4,0,55,4,2,3,0.307,0.381,0.461,0.842,0.135,125.4
LG,1.47,75,175,174,147,28,44,8,1,0,54,25,14,8,22,2,0,17,1,1,3,0.299,0.391,0.367,0.758,0.161,107.1
한화,1.30,44,150,147,124,21,31,8,1,1,44,11,1,0,19,2,0,26,1,3,2,0.250,0.354,0.355,0.709,0.143,106.8
SSG,1.19,114,332,329,303,45,95,14,0,8,133,46,11,2,20,4,3,70,5,1,4,0.314,0.360,0.439,0.799,0.137,102.7
KIA,0.45,96,281,278,244,39,66,12,0,9,105,39,5,1,31,1,2,39,7,2,3,0.270,0.351,0.430,0.781,0.140,104.7
KT,-0.62,107,253,251,230,31,61,7,0,0,68,25,4,0,20,0,0,41,5,2,1,0.265,0.323,0.296,0.619,0.124,72.7
두산,-0.65,70,213,210,178,28,39,8,0,9,74,30,0,0,26,4,2,66,6,1,4,0.219,0.325,0.416,0.741,0.133,83.8
