Team,WAR,G,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+
리그 전체,11.83,522,1875,1859,1624,288,472,89,5,67,772,281,24,15,209,19,9,381,25,9,14,0.291,0.375,0.475,0.850,0.155,124.1
KT,3.75,107,429,425,379,72,116,23,0,22,205,72,0,5,42,3,2,87,5,2,3,0.306,0.377,0.541,0.918,0.169,139.3
한화,1.84,90,318,316,272,47,76,20,0,13,135,48,2,5,40,4,2,70,4,1,1,0.279,0.379,0.496,0.875,0.149,134.7
NC,1.80,38,153,151,134,25,48,10,1,3,69,19,2,0,18,1,2,27,1,0,0,0.358,0.438,0.515,0.953,0.166,152.9
롯데,1.29,58,187,187,167,27,56,9,0,5,80,28,8,2,16,2,0,30,5,0,2,0.335,0.396,0.479,0.875,0.144,131.3
LG,1.26,41,179,179,145,26,42,1,2,2,53,15,5,1,30,4,1,29,4,0,0,0.290,0.425,0.366,0.791,0.145,121.9
키움,1.01,39,131,130,110,24,28,4,0,5,47,22,1,0,19,1,0,31,2,1,0,0.255,0.369,0.427,0.796,0.185,122.3
두산,0.98,35,131,131,117,18,35,9,2,4,60,26,2,0,9,0,0,14,1,0,5,0.299,0.336,0.513,0.849,0.137,126.5
삼성,0.33,64,153,149,131,24,36,5,0,2,47,15,4,2,14,2,0,30,2,4,2,0.275,0.349,0.359,0.708,0.161,84.8
SSG,-0.20,41,160,157,144,24,33,7,0,11,73,36,0,0,12,2,2,51,1,1,1,0.229,0.296,0.507,0.803,0.153,84.5
KIA,-0.22,9,34,34,25,1,2,1,0,0,3,0,0,0,9,0,0,12,0,0,0,0.080,0.324,0.120,0.444,0.029,38.2
