Team,WAR,G,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+
리그 전체,9.15,540,1764,1740,1540,233,410,81,9,32,605,183,33,12,168,25,2,394,28,22,9,0.266,0.346,0.393,0.739,0.134,92.0
삼성,2.99,64,281,280,247,39,72,15,1,12,125,39,3,0,31,1,0,73,3,1,1,0.291,0.371,0.506,0.877,0.139,117.0
한화,1.37,70,187,187,172,23,54,8,2,1,69,20,2,3,12,3,0,30,3,0,0,0.314,0.369,0.401,0.770,0.123,106.5
NC,1.15,58,167,162,138,21,33,5,1,3,49,17,5,1,15,8,0,49,0,5,1,0.239,0.346,0.355,0.701,0.130,81.9
KT,1.10,58,165,159,140,24,37,7,1,4,58,25,3,0,15,2,0,22,5,6,2,0.264,0.340,0.414,0.754,0.151,99.2
SSG,0.95,58,223,221,198,30,57,9,0,1,69,19,5,3,23,1,1,34,3,1,0,0.288,0.365,0.348,0.713,0.136,86.9
LG,0.74,41,148,147,127,23,30,10,1,2,48,10,9,3,18,2,0,43,1,1,0,0.236,0.340,0.378,0.718,0.157,93.6
KIA,0.67,39,153,151,142,16,39,8,0,0,47,9,5,2,7,1,0,17,1,2,1,0.275,0.311,0.331,0.642,0.106,65.8
두산,0.63,65,156,153,125,25,27,8,1,4,49,16,1,0,24,2,0,40,3,3,2,0.216,0.346,0.392,0.738,0.163,103.9
롯데,-0.15,35,100,98,86,10,22,3,1,0,27,2,0,0,11,1,0,34,0,2,0,0.256,0.347,0.314,0.661,0.102,69.5
키움,-0.30,52,184,182,165,22,39,8,1,5,64,26,0,0,12,4,1,52,9,1,2,0.236,0.301,0.388,0.689,0.121,70.3
