Team,Total RAA,G,GS,IP,ifH,FC,PO,Ass,E,BBO,BBO%,F%,RF9,Range RAA,Err RAA,DP RAA,Bt RAA,/144
리그 전체,-0.75,2283,1736,15313.0,590,4,4687,3059,195,4239,81.4,97.5,4.55,0.30,-0.58,0.37,-0.22,-0.05
NC,16.47,226,164,1494.0,32,0,503,285,16,370,87.0,98.0,4.75,18.28,-1.64,0.00,-0.15,10.50
SSG,8.83,215,172,1463.0,53,0,395,318,18,368,80.7,97.5,4.39,9.05,-0.27,0.00,0.04,5.91
삼성,8.32,231,175,1565.2,73,1,412,278,15,380,76.6,97.9,3.97,8.22,0.74,0.00,-0.64,5.19
두산,6.37,238,174,1539.0,72,1,521,337,22,465,79.6,97.5,5.02,5.17,1.06,0.00,0.14,3.85
KT,3.48,229,172,1511.1,64,0,501,309,14,466,83.3,98.3,4.82,0.95,2.41,0.00,0.12,2.19
키움,1.18,220,183,1614.0,100,1,500,317,16,550,78.7,98.1,4.56,-0.65,1.74,0.00,0.20,0.77
KIA,-5.31,223,171,1516.2,44,0,504,313,31,391,80.8,96.3,4.85,-1.80,-3.90,0.00,0.45,-3.43
한화,-6.33,230,198,1715.0,22,0,443,294,16,278,86.3,97.9,3.87,-5.22,-0.46,0.23,-0.44,-3.96
LG,-12.94,233,172,1535.0,77,1,463,321,24,484,78.9,97.0,4.60,-12.12,-0.52,0.00,-0.29,-7.99
롯데,-20.83,238,155,1359.1,53,0,445,287,23,487,84.4,97.0,4.85,-21.58,0.27,0.14,0.34,-12.60
