Team,Total RAA,G,GS,IP,BAFZ,RF9,ofAss,F12 A,F12 N,F12 %,F23 A,F23 N,F23 %,F34 A,F34 N,F34 %,H13 A,H13 N,H13 %,H24 A,H24 N,H24 %,D14 A,D14 N,D14 %,Range RAA,Arm RAA,Err RAA,/144
리그 전체,4.32,1928,1342,12051.2,36.9,2.20,83,3,532,0.6,3,174,70.0,5,96,258.3,242,804,258.3,0,313,258.3,82,205,258.3,7.17,-0.15,-0.32,27.27
삼성,18.27,247,149,1376.2,43.5,2.50,10,0,58,0.0,1,21,16.7,0,12,0.0,15,74,0.0,0,23,0.0,7,19,0.0,18.99,-2.17,1.46,112.63
LG,10.78,167,115,1062.0,38.6,2.23,12,1,57,1.8,0,21,0.0,0,10,0.0,23,83,0.0,0,31,0.0,7,23,0.0,7.88,2.19,0.71,87.44
NC,4.18,160,117,1038.2,43.3,2.05,8,0,51,0.0,1,18,33.3,0,8,0.0,19,59,0.0,0,26,0.0,3,16,0.0,0.63,1.62,1.93,11.99
롯데,1.26,154,118,1048.0,36.9,2.29,6,1,50,2.0,0,15,0.0,0,7,0.0,25,68,0.0,0,33,0.0,8,19,0.0,-0.48,1.16,0.72,16.59
두산,-0.01,203,157,1382.2,37.4,1.84,5,1,68,1.5,0,17,0.0,0,4,0.0,24,88,0.0,0,30,0.0,13,27,0.0,-0.58,0.27,0.29,-29.19
KIA,-1.08,199,111,1012.2,40.6,2.00,11,0,54,0.0,1,19,20.0,2,7,125.0,22,70,125.0,0,24,125.0,7,18,125.0,-1.19,0.29,-0.19,67.11
한화,-1.37,192,122,1085.0,29.8,2.54,8,0,44,0.0,0,14,0.0,0,7,0.0,29,91,0.0,0,35,0.0,8,17,0.0,3.05,-1.92,-2.26,-4.13
SSG,-2.50,190,147,1350.0,33.2,2.29,11,0,45,0.0,0,13,0.0,2,14,83.3,22,81,83.3,0,32,83.3,9,22,83.3,-2.39,1.91,-2.14,10.85
키움,-11.18,181,137,1215.0,35.0,2.20,2,0,53,0.0,0,25,0.0,1,13,50.0,28,102,50.0,0,37,50.0,13,24,50.0,-8.30,-2.00,-0.88,-66.98
KT,-14.04,235,169,1481.0,33.2,2.08,10,0,52,0.0,0,11,0.0,0,14,0.0,35,88,0.0,0,42,0.0,7,20,0.0,-10.45,-1.51,0.03,-179.04
