Team,WAR,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,FIP,WHIP
리그 전체,63.72,2007,410,1597,410,1,0,201,201,91,216,3642.0,1934,2143,2143.00,16318,3917,675,62,379,1532,242,46,3100,197,6,197,4.78,5.30,5.30,4.74,1.50
KIA,7.74,209,40,169,40,1,0,25,14,14,28,358.2,152,193,193.00,1599,357,72,1,32,163,22,4,316,27,0,18,3.81,4.84,4.84,4.63,1.45
LG,7.74,210,43,167,43,0,0,23,18,12,26,383.0,181,202,202.00,1713,404,72,2,33,159,25,4,345,27,1,18,4.25,4.75,4.75,4.42,1.47
롯데,7.41,194,39,155,39,0,0,13,25,7,11,342.1,195,212,212.00,1554,400,68,4,41,143,24,7,289,18,1,26,5.13,5.57,5.57,4.85,1.59
삼성,7.39,201,41,160,41,0,0,23,17,11,26,372.2,179,188,188.00,1623,367,61,9,38,146,26,5,300,14,0,21,4.32,4.54,4.54,4.85,1.38
NC,6.72,186,40,146,40,0,0,23,17,9,22,359.2,150,175,175.00,1554,351,62,4,32,133,19,3,307,17,0,13,3.75,4.38,4.38,4.43,1.35
두산,6.53,223,43,180,43,0,0,24,19,13,26,380.0,179,206,206.00,1712,390,65,9,33,172,31,4,320,22,1,23,4.24,4.88,4.88,4.68,1.48
키움,6.20,182,40,142,40,0,0,16,24,6,18,354.1,211,229,229.00,1615,414,75,9,33,137,25,4,249,18,2,29,5.36,5.82,5.82,4.88,1.56
한화,5.75,203,40,163,40,0,0,16,24,5,11,350.0,208,229,229.00,1589,395,56,5,38,152,27,4,305,19,1,17,5.35,5.89,5.89,4.76,1.56
KT,4.15,194,42,152,42,0,0,17,24,3,16,369.1,249,261,261.00,1687,449,85,12,49,147,16,5,321,16,0,19,6.07,6.36,6.36,4.85,1.61
SSG,4.08,205,42,163,42,0,0,21,19,11,32,372.0,230,248,248.00,1672,390,59,7,50,180,27,6,348,19,0,13,5.56,6.00,6.00,5.09,1.53
