Team,WAR,G,GR,IP,ERA,W,L,2CGP,3CGP,1+,SV,HD,BLSV,BLHD,BL+,PR,TS,TH,TBS,TBH,SD,MD,IR,IRS,IRS%,BQ,BQS,BQS%,IP/GR,P/GR,gmLI
리그 전체,20.44,2007,1597,1576.1,4.92,81,71,352,29,346,91,216,55,20,75,80.4,12,34,23,11,452,504,888,318,35.8,628,247,37.9,0.99,17.67,129.26
LG,3.18,210,167,161.1,3.68,12,6,34,1,30,12,26,4,2,6,86.4,3,5,4,2,51,64,88,31,35.2,70,25,35.6,0.97,16.81,14.17
롯데,2.64,194,155,133.2,5.12,5,10,41,6,34,7,11,6,2,8,69.2,0,2,3,2,48,42,99,39,39.4,70,33,44.8,0.86,15.79,11.42
삼성,2.59,201,160,169.0,4.79,8,6,40,4,46,11,26,5,3,8,82.2,0,6,1,1,38,59,89,24,27.0,48,17,30.8,1.06,17.85,11.58
SSG,2.51,205,163,179.0,4.42,12,3,40,5,43,11,32,7,1,8,84.3,1,5,1,0,47,58,98,30,30.6,69,21,33.3,1.10,19.78,11.88
두산,2.23,223,180,173.2,4.09,11,6,42,4,32,13,26,6,3,9,81.3,3,3,3,2,44,46,103,35,34.0,64,21,36.5,0.96,17.29,14.92
한화,2.13,203,163,159.2,5.58,5,10,24,0,34,5,11,4,0,4,80.0,1,2,2,0,43,35,77,25,32.5,56,20,33.3,0.98,18.01,10.95
NC,2.03,186,146,139.2,4.25,10,7,32,1,32,9,22,5,2,7,81.6,3,5,4,0,44,54,83,31,37.3,61,28,38.3,0.96,17.39,11.90
KIA,1.67,209,169,150.1,4.43,9,7,37,2,25,14,28,6,1,7,85.7,1,3,2,1,41,64,114,40,35.1,87,31,36.4,0.89,16.15,17.28
키움,0.77,182,142,148.2,6.66,3,10,36,4,29,6,18,3,1,4,85.7,0,2,0,0,42,44,61,24,39.3,46,22,40.0,1.05,19.12,11.30
KT,0.69,194,152,161.1,6.36,6,6,26,2,41,3,16,9,5,14,57.6,0,1,3,3,54,38,76,39,51.3,57,29,52.7,1.06,18.78,13.87
